Texto,Fecha,Concepto,Género,Grupo Etáreo,Nombre Usuario,Escolaridad,Fuente
Como meme,2023-07-06 17:49:34,False,N/A,N/A,yulian1__,N/A,https://www.threads.net/@yulian1__/post/CuXWmB_uBkK
@chtvnega ❤️‍🩹 @kachipum.cl,2023-07-06 19:26:24,False,N/A,N/A,gers000n,N/A,https://www.threads.net/@gers000n/post/CuXhrRWuP9h
Si somos😳,2023-07-06 19:34:51,False,N/A,N/A,kachipum.cl,N/A,https://www.threads.net/@kachipum.cl/post/CuXipJuPUi2
Nowei me acabi de crear la cuenta y me sale esta wea,2023-07-06 17:57:19,False,N/A,N/A,666tts,N/A,https://www.threads.net/@666tts/post/CuXXe1zOQC5
XDDDDDDDDD,2023-07-07 01:10:39,False,N/A,N/A,manzana_blueberry,N/A,https://www.threads.net/@manzana_blueberry/post/CuYJEsxsdxU
"Jajajajaja puta que tiran para arriba a boric, siempre lo colocan alto xd",2023-07-06 20:05:27,False,N/A,N/A,felipe.andres.30,N/A,https://www.threads.net/@felipe.andres.30/post/CuXmJRNPMsG
Pa cuando la historia pa mejore amigo??,2023-07-06 17:31:35,False,N/A,N/A,el._.brino,N/A,https://www.threads.net/@el._.brino/post/CuXUiXkgFUu
Unidos por el robo y por las fundaciones,2023-07-06 17:51:51,False,N/A,N/A,clementespinoza.s,N/A,https://www.threads.net/@clementespinoza.s/post/CuXW2w6gEuO
La funa se acerca,2023-07-06 17:31:06,False,N/A,N/A,mauro_grez22,N/A,https://www.threads.net/@mauro_grez22/post/CuXUeynO8w_
las pinturas de la casa de kast,2023-07-06 17:30:03,False,N/A,N/A,kutewaii,N/A,https://www.threads.net/@kutewaii/post/CuXUXDELif2
El que tenga miedo a morir que no nazca,2023-07-06 17:33:34,False,N/A,N/A,vaaanleal,N/A,https://www.threads.net/@vaaanleal/post/CuXUw2puhIl
Ajajajajaj fundicion,2023-07-06 18:22:58,False,N/A,N/A,elgomez3520,N/A,https://www.threads.net/@elgomez3520/post/CuXaavQLVS3
Mientras vo buscar trabajo,2023-07-06 19:53:17,False,N/A,N/A,_mashtown_,N/A,https://www.threads.net/@_mashtown_/post/CuXkwNGv4lI
Esto es real?,2023-07-06 17:51:51,False,N/A,N/A,joak0tt,N/A,https://www.threads.net/@joak0tt/post/CuXW2v3u_DU
Si,2023-07-06 21:15:42,False,N/A,N/A,nonoscontiempo,N/A,https://www.threads.net/@nonoscontiempo/post/CuXuL2EPMuM
Cuando vo buscai trabajo...,2023-07-06 18:25:39,False,N/A,N/A,shaddamc,N/A,https://www.threads.net/@shaddamc/post/CuXauXfOh94
Como lo amo mi presidente 🥵,2023-07-06 18:27:48,False,N/A,N/A,xjorquera_,N/A,https://www.threads.net/@xjorquera_/post/CuXa-IcABo-
"Que pasó chetangueke, donde estan las rajas aplaudiendo?",2023-07-06 20:57:44,False,N/A,N/A,iceberg.penguin,N/A,https://www.threads.net/@iceberg.penguin/post/CuXsIRnvbas
COMO CTM HAGO PARA QUE EL CELU DEJE DE VIBRAR POR CADA NOTIFICACIÓN LLEGO A TENER LA MANO DORMIDA Y EL POTO TAMBIÉN,2023-07-06 14:50:42,False,N/A,N/A,chtvnega,N/A,https://www.threads.net/@chtvnega/post/CuXCGBrxT1U
,2023-07-06 15:35:03,False,N/A,N/A,jexdest,N/A,https://www.threads.net/@jexdest/post/CuXHM3aMqB7
La gran Alex el capo,2023-07-06 14:52:21,False,N/A,N/A,perromojad0,N/A,https://www.threads.net/@perromojad0/post/CuXCUBgLxBV
Le sabe,2023-07-06 15:09:58,False,N/A,N/A,m.odia_todo,N/A,https://www.threads.net/@m.odia_todo/post/CuXEVI0uVoI
,2023-07-06 14:51:14,False,N/A,N/A,texto_ejemplo_,N/A,https://www.threads.net/@texto_ejemplo_/post/CuXCL5BLtTF
Yo creo que deberíai dejar de meterte el celular en la raja,2023-07-06 15:00:13,False,N/A,N/A,mast3r._mind,N/A,https://www.threads.net/@mast3r._mind/post/CuXDNsYr8zC
No creo que sea sano usar el teléfono como birador en el culo,2023-07-06 15:06:45,False,N/A,N/A,_mauro_godoy_,N/A,https://www.threads.net/@_mauro_godoy_/post/CuXD9hjrV5X
Sácate el celular de la raja chetanga,2023-07-06 14:52:25,False,N/A,N/A,zatick.exe,N/A,https://www.threads.net/@zatick.exe/post/CuXCUmsA7Sk
Metaselo en la raja pa que lo disfrute tío,2023-07-06 15:19:54,False,N/A,N/A,yosoywayn,N/A,https://www.threads.net/@yosoywayn/post/CuXFd5FOKFS
celular pasao a caca,2023-07-06 15:40:33,False,N/A,N/A,scarp.0.of,N/A,https://www.threads.net/@scarp.0.of/post/CuXH1IXr8VL
Pa’ cuando el “Calmao nomás”???,2023-07-07 03:24:46,False,N/A,N/A,b.xnjz,N/A,https://www.threads.net/@b.xnjz/post/CuYYa7osRhl
Pa cuando los mejores amigos?,2023-07-06 17:25:33,False,N/A,N/A,zedech,N/A,https://www.threads.net/@zedech/post/CuXT2F4uKXn
pa cuando sus partidas mejor?🤨,2023-07-06 17:29:34,False,N/A,N/A,_m04i_,N/A,https://www.threads.net/@_m04i_/post/CuXUTmILaWY
Txiuuu aber muestra,2023-07-06 14:51:11,False,N/A,N/A,bemjaja1,N/A,https://www.threads.net/@bemjaja1/post/CuXCLfILVbn
Donde estan los culitos? 🥴,2023-07-06 16:48:15,False,N/A,N/A,poncho_gonzalez999,N/A,https://www.threads.net/@poncho_gonzalez999/post/CuXPk6BLmDo
@renaderosas volvió pes,2023-07-07 02:28:19,False,N/A,N/A,el_aldo00,N/A,https://www.threads.net/@el_aldo00/post/CuYR9jgMwBa
*sonido*,2023-07-06 20:54:57,False,N/A,N/A,kamikazejar,N/A,https://www.threads.net/@kamikazejar/post/CuXrz2JJ8ne
lo que pasa es que tienes que meterte en,2023-07-06 14:55:38,False,N/A,N/A,jvi3rr,N/A,https://www.threads.net/@jvi3rr/post/CuXCsFqr1Sq
Lo que pasa es que,2023-07-06 14:54:09,False,N/A,N/A,el_jebs,N/A,https://www.threads.net/@el_jebs/post/CuXChNdOfk1
Creo que tienes que,2023-07-06 16:41:21,False,N/A,N/A,too.mim,N/A,https://www.threads.net/@too.mim/post/CuXOycwutwz
Wena @demencia.em mono ql,2023-07-07 14:48:23,False,N/A,N/A,duffauu,N/A,https://www.threads.net/@duffauu/post/CuZmp6bu_Mk
"Noc bro disculpa, espero te sirva",2023-07-06 14:53:28,False,N/A,N/A,__.p.a.t.o.__,N/A,https://www.threads.net/@__.p.a.t.o.__/post/CuXCcSruQrz
Sígueme por lealtad,2023-07-06 15:07:20,False,N/A,N/A,_mashtown_,N/A,https://www.threads.net/@_mashtown_/post/CuXEBykgNU1
Nose,2023-07-06 19:28:28,False,N/A,N/A,eljavafx,N/A,https://www.threads.net/@eljavafx/post/CuXh6YBOq_F
"Buen día grupo 
*Sube una raja moviéndose al ritmo de Blue Hair*",2023-07-06 14:42:56,False,N/A,N/A,chtvnega,N/A,https://www.threads.net/@chtvnega/post/CuXBPKTupZR
Ya pero y la foto poto?,2023-07-06 14:43:42,False,N/A,N/A,vashyy_,N/A,https://www.threads.net/@vashyy_/post/CuXBUxZryxC
,2023-07-06 15:18:11,False,N/A,N/A,carlos.rubilars,N/A,https://www.threads.net/@carlos.rubilars/post/CuXFNpnr6cH
,2023-07-06 14:45:06,False,N/A,N/A,texto_ejemplo_,N/A,https://www.threads.net/@texto_ejemplo_/post/CuXBe94L2JC
En mis tiempos dejaban el link?,2023-07-06 15:30:38,False,N/A,N/A,mr.indico,N/A,https://www.threads.net/@mr.indico/post/CuXGsg7u73H
"Yapo wn si en twitter se permite todo aca igual debería ser asi, si no nicagando ganan la competencia",2023-07-06 16:25:25,False,N/A,N/A,namurai_,N/A,https://www.threads.net/@namurai_/post/CuXM9vvre2f
Será que dura el mes esta página sin que la bajen? 🧐,2023-07-06 14:44:11,False,N/A,N/A,martinvrv_7205,N/A,https://www.threads.net/@martinvrv_7205/post/CuXBYQ-Lkfz
"Wena tio chetanga
*Esperando a que suba el culo más enorme de su galería*",2023-07-06 15:09:44,False,N/A,N/A,sirlucho_,N/A,https://www.threads.net/@sirlucho_/post/CuXETczr92F
Acá no te funan ni te cierran la cuenta jajajaja,2023-07-06 14:58:08,False,N/A,N/A,_choc0_milk,N/A,https://www.threads.net/@_choc0_milk/post/CuXC-fCOOpg
Ha que hora subes el primer 🍑,2023-07-06 14:45:28,False,N/A,N/A,jufaplay,N/A,https://www.threads.net/@jufaplay/post/CuXBhpeufND
Le tiene miedo al éxito,2023-07-06 14:44:38,False,N/A,N/A,patata_161,N/A,https://www.threads.net/@patata_161/post/CuXBbkOOFei
Pa cuando la raja tio chtvnega,2023-07-06 16:30:04,False,N/A,N/A,mv.tthy,N/A,https://www.threads.net/@mv.tthy/post/CuXNfujLGti
Bam bam bam,2023-07-06 14:54:28,False,N/A,N/A,el_jebs,N/A,https://www.threads.net/@el_jebs/post/CuXCjh8ua3K
*lo banean ahora en Threads*,2023-07-06 14:44:53,False,N/A,N/A,benjjg.5.0__,N/A,https://www.threads.net/@benjjg.5.0__/post/CuXBdZEMNHr
Sígueme no seas penca,2023-07-06 14:44:27,False,N/A,N/A,jufaplay,N/A,https://www.threads.net/@jufaplay/post/CuXBaKRO2aL
Hola gente,2023-07-06 17:03:52,False,N/A,N/A,nauhyac,N/A,https://www.threads.net/@nauhyac/post/CuXRXW7O7eI
hola grupo,2023-07-06 14:52:31,False,N/A,N/A,ignac0r,N/A,https://www.threads.net/@ignac0r/post/CuXCVSegCw0
espero q chetanga aguante si un ban threads,2023-07-06 15:03:02,False,N/A,N/A,crisssoux,N/A,https://www.threads.net/@crisssoux/post/CuXDiTeO8L4
Y el poto?,2023-07-06 14:51:16,False,N/A,N/A,soy_el_poochy,N/A,https://www.threads.net/@soy_el_poochy/post/CuXCMGiLjRk
"Uy, Chetanga",2023-07-06 22:44:03,False,N/A,N/A,signo_18,N/A,https://www.threads.net/@signo_18/post/CuX4S3XPSlA
hola,2023-07-06 14:51:15,False,N/A,N/A,0hkhalipse,N/A,https://www.threads.net/@0hkhalipse/post/CuXCMAbLjrf
"Buen día chetanga, y la raja?",2023-07-06 15:01:11,False,N/A,N/A,don_feles,N/A,https://www.threads.net/@don_feles/post/CuXDUuKOWus
No he recibido ningún mensaje.,2023-07-06 05:23:07,False,N/A,N/A,chtvnega,N/A,https://www.threads.net/@chtvnega/post/CuWBJizO7cm
,2023-07-06 05:53:41,False,N/A,N/A,pedroandradef_,N/A,https://www.threads.net/@pedroandradef_/post/CuWEpdXAYYz
,2023-07-06 14:36:18,False,N/A,N/A,texto_ejemplo_,N/A,https://www.threads.net/@texto_ejemplo_/post/CuXAelGr45_
,2023-07-06 07:23:13,False,N/A,N/A,bastiiiin_,N/A,https://www.threads.net/@bastiiiin_/post/CuWO5wqg3nG
,2023-07-06 12:21:27,False,N/A,N/A,dhelex_makkonen_xo,N/A,https://www.threads.net/@dhelex_makkonen_xo/post/CuWxC5XAaqu
"Y si el recibir un mensaje no recibes un mensaje, no recibiriamos un mensaje de que recibimos un mensaje?",2023-07-06 11:58:14,False,N/A,N/A,_.sathariel,N/A,https://www.threads.net/@_.sathariel/post/CuWuYxSuyQp
Esta wea tiene para mensaje privado o no tiene? O soy muy huado?,2023-07-06 05:42:59,False,N/A,N/A,picturesofgabo,N/A,https://www.threads.net/@picturesofgabo/post/CuWDcWbgWmm
Mmm no hay botón de editar tampoco,2023-07-06 05:44:00,False,N/A,N/A,picturesofgabo,N/A,https://www.threads.net/@picturesofgabo/post/CuWDj39gsky
,2023-07-06 11:13:14,False,N/A,N/A,serolero,N/A,https://www.threads.net/@serolero/post/CuWpPNtO5-A
"Ni aquí, ni en niuna wea",2023-07-06 05:43:31,False,N/A,N/A,daniel.hohenheim,N/A,https://www.threads.net/@daniel.hohenheim/post/CuWDgU3spID
🧑‍🦯,2023-07-06 05:34:38,False,N/A,N/A,joakot_,N/A,https://www.threads.net/@joakot_/post/CuWCfTVANMu
"hola don chetanga, como a estado? lo quiero mucho ❤️",2023-07-06 21:22:29,False,N/A,N/A,don__kokes,N/A,https://www.threads.net/@don__kokes/post/CuXu9guvR27
Deep,2023-07-06 09:06:38,False,N/A,N/A,bkno.o,N/A,https://www.threads.net/@bkno.o/post/CuWav-Huz9Z
Como chucha se envían mensajes,2023-07-06 05:40:08,False,N/A,N/A,k1retz,N/A,https://www.threads.net/@k1retz/post/CuWDHkPOKZQ
Noooo :'(,2023-07-06 05:25:21,False,N/A,N/A,ryuusei.boi,N/A,https://www.threads.net/@ryuusei.boi/post/CuWBbTOObzB
Que sabiduría rey,2023-07-06 14:43:08,False,N/A,N/A,yovvvvva,N/A,https://www.threads.net/@yovvvvva/post/CuXBQl6A9Fm
,2023-07-07 15:49:56,False,N/A,N/A,sebita_hot69,N/A,https://www.threads.net/@sebita_hot69/post/CuZtswRL4-h
Real,2023-07-06 11:39:49,False,N/A,N/A,entropi.a_,N/A,https://www.threads.net/@entropi.a_/post/CuWsR58r-3t
El conocimiento es poder,2023-07-06 05:27:10,False,N/A,N/A,antonionomedicen,N/A,https://www.threads.net/@antonionomedicen/post/CuWBohDMluN
SIN MIEDO AL ÉXITO,2023-07-06 03:29:35,False,N/A,N/A,chtvnega,N/A,https://www.threads.net/@chtvnega/post/CuV0HHys_zw
Cuanto tardó  chetanga en empezar a subir potos al twitter chikito..,2023-07-06 03:39:20,False,N/A,N/A,lafter501,N/A,https://www.threads.net/@lafter501/post/CuV1Sx7tdJ9
MEDIO POTO SIONO LIKE SI OPINAS ESO,2023-07-06 03:31:18,False,N/A,N/A,ckvzzz,N/A,https://www.threads.net/@ckvzzz/post/CuV0X-mOzyj
,2023-07-06 14:24:21,False,N/A,N/A,matimoraga_10,N/A,https://www.threads.net/@matimoraga_10/post/CuW-7Y7uH5z
Ni un día pa que ya me salgan estas weas,2023-07-06 17:29:27,False,N/A,N/A,_.synder._,N/A,https://www.threads.net/@_.synder._/post/CuXUStguygN
,2023-07-06 03:38:34,False,N/A,N/A,fabiaan.n_,N/A,https://www.threads.net/@fabiaan.n_/post/CuV1KEQNLdn
,2023-07-06 04:21:04,False,N/A,N/A,the_chains_bastard,N/A,https://www.threads.net/@the_chains_bastard/post/CuV6EYetee0
"Tío, aquí se pueden ver cosas cochinas?",2023-07-06 05:13:06,False,N/A,N/A,alopez123.al,N/A,https://www.threads.net/@alopez123.al/post/CuWABf_MG5E
,2023-07-06 14:18:04,False,N/A,N/A,__.p.a.t.o.__,N/A,https://www.threads.net/@__.p.a.t.o.__/post/CuW-ZCeuOFN
"Dnndndndnd csm que los potos lleguen en todos los formatos, próximamente potos en el servidor de Minecraft",2023-07-06 13:31:43,False,N/A,N/A,zatick.exe,N/A,https://www.threads.net/@zatick.exe/post/CuW5FiQgljf
Se viene todas las cuentas de chetanga a twiter 2,2023-07-06 03:33:29,False,N/A,N/A,peiro.__,N/A,https://www.threads.net/@peiro.__/post/CuV0n9JMKZH
"Gracias chetanga, ya se estaban demorando mucho en subir contenido de calidad",2023-07-06 03:39:21,False,N/A,N/A,tenshii21_,N/A,https://www.threads.net/@tenshii21_/post/CuV1S8COsQ9
esto no es parte del canon 💀,2023-07-06 14:57:48,False,N/A,N/A,terracraft_smp8,N/A,https://www.threads.net/@terracraft_smp8/post/CuXC8BGr79n
Agradecido master 🫱🏻‍🫲🏼,2023-07-06 17:03:09,False,N/A,N/A,gerar_uriber,N/A,https://www.threads.net/@gerar_uriber/post/CuXRSJZuyXl
*termina con todas las cuenta baneadas*,2023-07-06 03:30:25,False,N/A,N/A,pekikee,N/A,https://www.threads.net/@pekikee/post/CuV0RdFNO_I
,2023-07-06 16:55:09,False,N/A,N/A,kazajistan.c,N/A,https://www.threads.net/@kazajistan.c/post/CuXQXeRO3lL
Quien me pasa el menú del QR? En vola en barato el local,2023-07-06 16:58:55,False,N/A,N/A,felipe_mv_,N/A,https://www.threads.net/@felipe_mv_/post/CuXQzEPrI0B
Definitivamente es Twitter 2 🗿🚬,2023-07-06 05:09:52,False,N/A,N/A,p0int_blxck,N/A,https://www.threads.net/@p0int_blxck/post/CuV_p0SAbP9
@rcleons_2002  tio para empezar bn el dia,2023-07-06 17:08:56,False,N/A,N/A,pi.3r0b,N/A,https://www.threads.net/@pi.3r0b/post/CuXR8fWugxJ
Pero tío... lee la biblia,2023-07-06 17:20:38,False,N/A,N/A,rcleons_2002,N/A,https://www.threads.net/@rcleons_2002/post/CuXTSLxOGsl
Tio,2023-07-06 17:24:48,False,N/A,N/A,pi.3r0b,N/A,https://www.threads.net/@pi.3r0b/post/CuXTwsgpqPj
como en twitter 👍,2023-07-06 03:31:04,False,N/A,N/A,kaladin__stormblessed,N/A,https://www.threads.net/@kaladin__stormblessed/post/CuV0WO5NsfD
"Paaa paa paaaaa, parapaaaaa 🎶",2023-07-06 13:30:29,False,N/A,N/A,mario.dop93,N/A,https://www.threads.net/@mario.dop93/post/CuW48fogTTI
Yo creándome esta red social para que me terminen baneando igual que instagram,2023-07-06 03:19:54,False,N/A,N/A,chtvnega,N/A,https://www.threads.net/@chtvnega/post/CuVzAjAMXy9
Ve preparando la cuenta de respaldo Chetanga,2023-07-06 03:27:49,False,N/A,N/A,lafter501,N/A,https://www.threads.net/@lafter501/post/CuVz-cJtIng
,2023-07-06 03:22:39,False,N/A,N/A,_.keke_935,N/A,https://www.threads.net/@_.keke_935/post/CuVzYkdNHKA
"Chetanga subiendo el glúteo más desproporcionado visto por la humanidad 0,0001 segundo después de instalar la app",2023-07-06 03:30:24,False,N/A,N/A,manu._elcisterna,N/A,https://www.threads.net/@manu._elcisterna/post/CuV0RUROPcY
,2023-07-06 03:38:42,False,N/A,N/A,jluisyr,N/A,https://www.threads.net/@jluisyr/post/CuV1OFUOI3U
"Chetanga te sigo hasta la muerte, o que caiga de nuevo la página. Lo que ocurra primero.",2023-07-06 05:45:29,False,N/A,N/A,too.mim,N/A,https://www.threads.net/@too.mim/post/CuWDuumOWbM
,2023-07-06 03:28:59,False,N/A,N/A,ckvzzz,N/A,https://www.threads.net/@ckvzzz/post/CuV0G8HOThn
,2023-07-06 06:33:41,False,N/A,N/A,_nicoop,N/A,https://www.threads.net/@_nicoop/post/CuWJPxnOlqg
El baneoverso del Chetanga es real 😔👌🏼,2023-07-06 12:08:00,False,N/A,N/A,jvegam_,N/A,https://www.threads.net/@jvegam_/post/CuWvgTyOQbm
Aca si se puede decir groserias?,2023-07-06 03:21:39,False,N/A,N/A,_.afecti0n,N/A,https://www.threads.net/@_.afecti0n/post/CuVzRP6uq-T
Funa speedrun,2023-07-06 12:23:23,False,N/A,N/A,simoon.rrz,N/A,https://www.threads.net/@simoon.rrz/post/CuWxQ_rAFVA
Calmao noma,2023-07-06 07:14:06,False,N/A,N/A,ur4n0f0b14,N/A,https://www.threads.net/@ur4n0f0b14/post/CuWN3yBOlHp
Hail chetanga,2023-07-06 03:48:52,False,N/A,N/A,ig_charmin,N/A,https://www.threads.net/@ig_charmin/post/CuV2YmuNxB5
"ooh, chetanga",2023-07-06 03:49:42,False,N/A,N/A,catsarepunk_,N/A,https://www.threads.net/@catsarepunk_/post/CuV2ervteuK
Tio ceviche usted sabe que lo seguimos donde sea,2023-07-06 06:01:52,False,N/A,N/A,_.tipo_sad._,N/A,https://www.threads.net/@_.tipo_sad._/post/CuWFmtHOsuF
Oiga Don chetanga tirese una rajita pa este pobre ciego,2023-07-06 12:46:56,False,N/A,N/A,cvml0o_,N/A,https://www.threads.net/@cvml0o_/post/CuWz9hWrUN7
